alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,device_condition,first_crash_type,latitude,lighting_condition,longitude,num_units,posted_speed_limit,prim_contributory_cause,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_no,traffic_control_device,trafficway_type,weather_condition,private_property_i,hit_and_run_i,intersection_related_i,crash_date_est_i,work_zone_i,workers_present_i,veh_count,ppl_count,veh_area_01_i_list_json,veh_area_02_i_list_json,veh_area_12_i_list_json,veh_crash_date_list_json,veh_crash_unit_id_list_json,veh_first_contact_point_list_json,veh_lic_plate_state_list_json,veh_make_list_json,veh_maneuver_list_json,veh_model_list_json,veh_occupant_cnt_list_json,veh_travel_direction_list_json,veh_unit_no_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_id_list_json,veh_vehicle_type_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,veh_area_03_i_list_json,veh_area_04_i_list_json,veh_area_11_i_list_json,veh_towed_by_list_json,veh_towed_i_list_json,veh_area_07_i_list_json,veh_area_99_i_list_json,veh_area_09_i_list_json,veh_area_10_i_list_json,veh_cmrc_veh_i_list_json,veh_num_passengers_list_json,veh_area_08_i_list_json,veh_area_00_i_list_json,veh_area_05_i_list_json,veh_area_06_i_list_json,veh_towed_to_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_bac_result_list_json,ppl_city_list_json,ppl_crash_date_list_json,ppl_driver_action_list_json,ppl_driver_vision_list_json,ppl_drivers_license_class_list_json,ppl_drivers_license_state_list_json,ppl_ejection_list_json,ppl_hospital_list_json,ppl_person_id_list_json,ppl_person_type_list_json,ppl_physical_condition_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_state_list_json,ppl_vehicle_id_list_json,ppl_zipcode_list_json,ppl_ems_agency_list_json,ppl_seat_no_list_json,ppl_pedpedal_action_list_json,ppl_pedpedal_location_list_json,ppl_pedpedal_visibility_list_json,ppl_ems_run_no_list_json,year,month,hour,day,is_weekend,hour_bin,lat_bin,lng_bin,grid_id,ppl_age_mean,ppl_age_min,ppl_age_max,prim_contributory_cause_group,ksi_flag
STRAIGHT AND LEVEL,2433,2025-10-05 23:10:00,1,23,10,D5AF681BBBE43926BE72B02CB418C3EA67D83D73DF6C86BF9940E93DE1CB56C18F2AD9E49D170955348F58F8042A76848187219C56ABA4C8DAF8F665BBEBC275,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO CONTROLS,FIXED OBJECT,41.9925615528,DAYLIGHT,-87.6747007248,1,30,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NO DEFECTS,DRY,IMPROPER OVERTAKING/PASSING,N,6115,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,2,"[""Y""]",[],"[""Y""]","[""2025-10-05T23:10:00.000""]","[""2164415""]","[""FRONT""]","[""IL""]","[""INFINITI""]","[""STRAIGHT AHEAD""]","[""G37""]","[""2""]","[""N""]","[""1""]","[""DRIVER""]","[""NONE""]","[""2063234""]","[""PASSENGER""]","[""PERSONAL""]","[""2008""]",[],[],"[""Y""]","[""private tow""]","[""Y""]",[],[],[],[],[],"[""1""]",[],[],[],[],[],"['20', '21']","[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T23:10:00.000""]","[""IMPROPER LANE CHANGE""]","[""NOT OBSCURED""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2164415"", ""P477683""]","[""DRIVER"", ""PASSENGER""]","[""NORMAL""]","[""SAFETY BELT USED""]","[""F"", ""M""]","[""IL""]","[""2063234""]","[""60626"", ""60629""]",[],"[""2""]",[],[],[],[],2025,10,23,5,True,evening,41.99,-87.67,41.99_-87.67,20.5,20,21,OTHER,0
STRAIGHT AND LEVEL,621,2025-10-05 23:00:00,1,23,10,083025D6AC7992082A49D3246CA5DC28F77AF09993712609A059F92C781CF800C0B49DD2DEDF028EC25B9C27649339D39336DB73685A13A2BCDC054D43032FBF,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,FUNCTIONING PROPERLY,PEDESTRIAN,41.7559957905,DAWN,-87.6443282389,2,30,FAILING TO REDUCE SPEED TO AVOID CRASH,WORN SURFACE,DRY,NOT APPLICABLE,S,7600,TRAFFIC SIGNAL,FOUR WAY,CLEAR,0.0,1.0,1.0,0.0,0.0,1.0,2,1,[],[],[],"[""2025-10-05T23:00:00.000""]","[""2164425"", ""2164426""]","[""FRONT""]","[""XX""]","[""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""E""]","[""1"", ""2""]","[""DRIVER"", ""PEDESTRIAN""]","[""UNKNOWN""]","[""2063243""]","[""PICKUP""]","[""PERSONAL""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['32'],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T23:00:00.000""]","[""FAILED TO YIELD"", ""NONE""]","[""UNKNOWN""]",[],[],"[""UNKNOWN""]","[""UNIVERSITY OF CHICAGO""]","[""O2164425"", ""O2164426""]","[""DRIVER"", ""PEDESTRIAN""]","[""UNKNOWN""]","[""NONE PRESENT"", ""USAGE UNKNOWN""]","[""M"", ""X""]","[""IL""]","[""2063243""]","[""60620""]","[""30""]",[],"[""CROSSING - CONTROLS PRESENT (NOT AT INTERSECTION)""]","[""IN ROADWAY""]","[""CONTRASTING CLOTHING""]",[],2025,10,23,5,True,evening,41.76,-87.64,41.76_-87.64,32.0,32,32,SPEEDING,1
STRAIGHT AND LEVEL,624,2025-10-05 22:56:00,1,22,10,0E90DC71958A8DE07D7F7EF47D5588C4DB06650FC1B8F5DAED9E5FCA79E69572894F9526B6FE39BE7122C7F6F9C5E0002462CBA831143EA7F2E84DF26259DC33,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FUNCTIONING PROPERLY,FIXED OBJECT,41.757251837,"DARKNESS, LIGHTED ROAD",-87.5980531794,1,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,UNABLE TO DETERMINE,E,1099,NO CONTROLS,PARKING LOT,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,0,"[""Y""]","[""Y""]","[""Y""]","[""2025-10-05T22:56:00.000""]","[""2164441""]","[""FRONT""]","[""IL""]","[""DODGE""]","[""UNKNOWN/NA""]","[""DURANGO""]","[""1""]","[""E""]","[""1""]","[""DRIVER""]","[""UNKNOWN""]","[""2063258""]","[""SPORT UTILITY VEHICLE (SUV)""]","[""UNKNOWN/NA""]","[""2019""]","[""Y""]","[""Y""]","[""Y""]",[],"[""Y""]","[""Y""]",[],"[""Y""]","[""Y""]",[],[],"[""Y""]",[],"[""Y""]","[""N""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]",[],"[""2025-10-05T22:56:00.000""]","[""OTHER""]","[""UNKNOWN""]",[],[],"[""UNKNOWN""]",[],"[""O2164441""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""X""]",[],"[""2063258""]",[],[],[],[],[],[],[],2025,10,22,5,True,evening,41.76,-87.6,41.76_-87.6,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,1224,2025-10-05 22:47:00,1,22,10,6EB3DCFAC091D76CCD72518BCDF84C9EF6C5ED46F777BF32A623A6FA5FC9F5F74805FDC4094199752D0A455DFB3BCE08CD4D73FF22778CFC0FA4D0C539B43DF2,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.881883291,"DARKNESS, LIGHTED ROAD",-87.6476034217,2,30,IMPROPER OVERTAKING/PASSING,NO DEFECTS,DRY,IMPROPER OVERTAKING/PASSING,W,804,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1,2,[],"[""Y""]",[],"[""2025-10-05T22:47:00.000""]","[""2164422"", ""2164423""]","[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""IL""]","[""FREIGHTLINER CORPORATION"", ""UNKNOWN""]","[""PASSING/OVERTAKING"", ""STRAIGHT AHEAD""]","[""FREIGHTLINER CORP."", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""W""]","[""1"", ""2""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""2063242"", ""2063245""]","[""BUS UP TO 15 PASS."", ""PASSENGER""]","[""OTHER"", ""UNKNOWN/NA""]","[""2016""]","[""Y""]","[""Y""]","[""Y""]",[],[],"[""Y""]",[],"[""Y""]","[""Y""]","[""Y""]",[],"[""Y""]",[],"[""Y""]",[],[],"['29', '62']","[""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CAROL STREAM"", ""CHICAGO""]","[""2025-10-05T22:47:00.000""]","[""CELL PHONE USE OTHER THAN TEXTING"", ""NONE""]","[""NOT OBSCURED"", ""UNKNOWN""]","[""B""]","[""IL""]","[""NONE""]",[],"[""O2164422"", ""O2164423""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""IL""]","[""2063242"", ""2063245""]","[""60188"", ""60649""]",[],[],[],[],[],[],2025,10,22,5,True,evening,41.88,-87.65,41.88_-87.65,45.5,29,62,OTHER,0
STRAIGHT AND LEVEL,323,2025-10-05 22:32:00,1,22,10,01087D31B5442F1EEBCB449902ADF2CD0B10EAC7A399AAE0E2393307C048F6B591B9D73E28D62AF185870A9037E1551090F2A88C2F53A703DC8F35B12D484E15,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FUNCTIONING PROPERLY,ANGLE,41.7656188178,DUSK,-87.615407248,2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,DRY,FAILING TO YIELD RIGHT-OF-WAY,S,7100,TRAFFIC SIGNAL,FOUR WAY,CLEAR,0.0,0.0,1.0,0.0,0.0,1.0,1,2,"[""Y""]","[""Y""]","[""Y""]","[""2025-10-05T22:32:00.000""]","[""2164434"", ""2164435""]","[""FRONT"", ""REAR-RIGHT-CORNER""]","[""IL""]","[""CHEVROLET"", ""NISSAN""]","[""STRAIGHT AHEAD""]","[""BLAZER"", ""MURANO""]","[""1""]","[""S"", ""W""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2063252"", ""2063253""]","[""PASSENGER""]","[""PERSONAL""]","[""2005"", ""2014""]",[],[],"[""Y""]","[""CITY OF CHICAGO""]","[""Y""]",[],[],[],"[""Y""]",[],[],[],[],"[""Y""]","[""Y""]","[""DOTTY""]","['38', '57']","[""DEPLOYED, FRONT"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CALUMET CITY"", ""CHICAGO""]","[""2025-10-05T22:32:00.000""]","[""DISREGARDED CONTROL DEVICES"", ""NONE""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]","[""ST. BERNARD"", ""U OF C""]","[""O2164434"", ""O2164435""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2063252"", ""2063253""]","[""60409"", ""60619""]",[],[],[],[],[],[],2025,10,22,5,True,evening,41.77,-87.62,41.77_-87.62,47.5,38,57,FAILURE-TO-YIELD,1
STRAIGHT AND LEVEL,2531,2025-10-05 22:30:00,1,22,10,6359B0409F44DC3836E33F23694C60A81E32856B3F334929E3697AD2D32AA82149E2C294A0F525A06347C08FB97BF83471BD19489498BD15C0AC0F4E37D1F9C8,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,41.9093640705,DARKNESS,-87.7755414029,2,30,UNABLE TO DETERMINE,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,W,5960,NO CONTROLS,FOUR WAY,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,2,0,[],[],[],"[""2025-10-05T22:30:00.000""]","[""2169871"", ""2169872""]","[""REAR"", ""UNKNOWN""]","[""IL""]","[""HONDA"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""CR-V"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""0"", ""1""]","[""N""]","[""1"", ""2""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""2068392"", ""2068402""]","[""PASSENGER"", ""UNKNOWN/NA""]","[""UNKNOWN/NA""]","[""2011""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],[],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]",[],"[""2025-10-05T22:30:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]",[],[],"[""UNKNOWN""]",[],"[""O2169871""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""X""]",[],"[""2068392""]",[],[],[],[],[],[],[],2025,10,22,5,True,evening,41.91,-87.78,41.91_-87.78,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,2525,2025-10-05 22:12:00,1,22,10,4F22B6E99363404A6F824AC179C0E2B233B064F2C1E668386B26CBA9C92D37C228F8FCAF978045922F6C7B5059567E453BE81852A34ED3EAF6B58229C03EC153,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO CONTROLS,PEDALCYCLIST,41.917269325,"DARKNESS, LIGHTED ROAD",-87.7270806718,2,30,UNABLE TO DETERMINE,UNKNOWN,DRY,UNABLE TO DETERMINE,W,4010,TRAFFIC SIGNAL,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,2,1,[],[],[],"[""2025-10-05T22:12:00.000""]","[""2164427"", ""2164428""]","[""SIDE-LEFT""]","[""IL""]","[""NISSAN""]","[""OTHER""]","[""ROGUE""]","[""1""]","[""W""]","[""1"", ""2""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""2063246""]","[""PASSENGER""]","[""UNKNOWN/NA""]","[""2020""]",[],[],[],[],[],[],"[""Y""]","[""N""]","[""N""]",[],[],[],[],[],[],[],['30'],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T22:12:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]",[],[],"[""UNKNOWN""]","[""HUMBOLDT PARK HEALTH""]","[""O2164427"", ""O2164428""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""HELMET NOT USED"", ""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2063246""]","[""60639""]","[""CFD""]",[],"[""UNKNOWN/NA""]","[""IN ROADWAY""]","[""NO CONTRASTING CLOTHING""]",[],2025,10,22,5,True,evening,41.92,-87.73,41.92_-87.73,30.0,30,30,OTHER,1
STRAIGHT AND LEVEL,1225,2025-10-05 22:10:00,1,22,10,CB03C5CF0E135D9B069FD12DA8C0E98B90FD6A357702D14136C62541207200D3708CF57546D8248D52B0E525AD68E806143B74A82101629F4EF42883C59A1B00,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO CONTROLS,TURNING,41.8761861666,DUSK,-87.6766739725,2,30,NOT APPLICABLE,UNKNOWN,DRY,UNABLE TO DETERMINE,S,400,NO CONTROLS,FOUR WAY,CLEAR,0.0,0.0,1.0,0.0,0.0,1.0,1,2,"[""Y""]","[""Y""]",[],"[""2025-10-05T22:10:00.000""]","[""2164392"", ""2164393""]","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""IL""]","[""FORD"", ""TOYOTA""]","[""TURNING LEFT""]","[""CAMRY"", ""EXPLORER""]","[""1""]","[""W""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2063218"", ""2063221""]","[""PASSENGER"", ""SPORT UTILITY VEHICLE (SUV)""]","[""PERSONAL""]","[""2015"", ""2017""]",[],[],"[""Y""]",[],[],[],[],"[""Y""]","[""Y""]",[],[],"[""Y""]",[],[],[],[],"['29', '32']","[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO"", ""WESTMONT""]","[""2025-10-05T22:10:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]","[""99""]","[""O2164392"", ""O2164393""]","[""DRIVER""]","[""NORMAL""]","[""SAFETY BELT USED""]","[""M""]","[""IL""]","[""2063218"", ""2063221""]","[""60559"", ""60617""]","[""99""]",[],[],[],[],[],2025,10,22,5,True,evening,41.88,-87.68,41.88_-87.68,30.5,29,32,OTHER,0
STRAIGHT AND LEVEL,2512,2025-10-05 21:46:00,1,21,10,47F2D894E13B10F606C586ABB5D7065CC9A51CE7915EF2295C0E3DAC3680CEADE845C24A62DA102B8E1CCF8AC8B1FDF2C92B44E61F91D961B936B8FBBADBA94F,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FUNCTIONING PROPERLY,PARKED MOTOR VEHICLE,41.9290918496,"DARKNESS, LIGHTED ROAD",-87.7834887187,3,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,UNABLE TO DETERMINE,W,6307,STOP SIGN/FLASHER,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,2,2,"[""Y""]",[],"[""Y""]","[""2025-10-05T21:46:00.000""]","[""2164419"", ""2164420"", ""2164421""]","[""FRONT"", ""FRONT-LEFT-CORNER""]","[""IL""]","[""FORD"", ""NISSAN"", ""TOYOTA""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""ALTIMA"", ""COROLLA"", ""EDGE""]","[""0"", ""2""]","[""E"", ""W""]","[""1"", ""2"", ""3""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""2063240"", ""2063241"", ""2063244""]","[""PASSENGER"", ""SPORT UTILITY VEHICLE (SUV)""]","[""PERSONAL""]","[""2001"", ""2012"", ""2016""]",[],[],"[""Y""]","[""SELF ARRANGED""]","[""Y""]",[],"[""Y""]",[],"[""Y""]",[],"[""1""]",[],"[""Y""]",[],[],"[""UNKNOWN""]","['21', '22']","[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T21:46:00.000""]","[""UNKNOWN""]","[""NOT OBSCURED""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2164419"", ""P477684""]","[""DRIVER"", ""PASSENGER""]","[""NORMAL""]","[""SAFETY BELT USED""]","[""M""]","[""IL""]","[""2063240""]","[""60639""]",[],"[""3""]",[],[],[],[],2025,10,21,5,True,evening,41.93,-87.78,41.93_-87.78,21.5,21,22,OTHER,0
STRAIGHT AND LEVEL,832,2025-10-05 21:41:00,1,21,10,232524B596DCA4125FD459FE96526FF3A62422504076758E77D0BDFBD7649B279540C2017B7CB79B856F4EC0FC1BA8102A25F4866EC873E6A93114F947B44BF9,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,41.7669733409,"DARKNESS, LIGHTED ROAD",-87.6809185782,3,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,NOT APPLICABLE,S,6946,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,2,1,"[""Y""]","[""Y""]",[],"[""2025-10-05T21:41:00.000""]","[""2164410"", ""2164411"", ""2164412""]","[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""IL""]","[""CHEVROLET"", ""JEEP"", ""TOYOTA""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""CHEROKEE"", ""MALIBU"", ""SOLARA""]","[""0"", ""1""]","[""S""]","[""1"", ""2"", ""3""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""2063233"", ""2063236"", ""2063239""]","[""PASSENGER""]","[""PERSONAL""]","[""2004"", ""2005"", ""2023""]","[""Y""]","[""Y""]","[""Y""]",[],[],"[""Y""]",[],"[""Y""]","[""Y""]",[],[],"[""Y""]",[],"[""Y""]",[],[],['59'],"[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T21:41:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]","[""A""]","[""SC""]","[""NONE""]",[],"[""O2164410""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2063239""]","[""60636""]",[],[],[],[],[],[],2025,10,21,5,True,evening,41.77,-87.68,41.77_-87.68,59.0,59,59,OTHER,0
STRAIGHT AND LEVEL,1925,2025-10-05 21:40:00,1,21,10,BE62B798EE64C74880F1CD55932839C5E4F4D51B5A80084B105919F568A6EFC1C47AA02F61BCE4C831EC5A62B66E6AD62F7AEF3B73122E6E9A4F509EC42F4F87,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO CONTROLS,ANGLE,41.949094321,"DARKNESS, LIGHTED ROAD",-87.6482324711,2,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,UNABLE TO DETERMINE,W,745,NO CONTROLS,FOUR WAY,CLEAR,0.0,1.0,1.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-05T21:40:00.000""]","[""2164398"", ""2164399""]","[""SIDE-RIGHT-REAR"", ""UNKNOWN""]","[""IL""]","[""LINCOLN"", ""TOYOTA""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""E"", ""N""]","[""1"", ""2""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""2063223"", ""2063225""]","[""PASSENGER""]","[""PERSONAL""]","[""2005"", ""2014""]","[""Y""]","[""Y""]",[],[],[],"[""N""]","[""Y""]","[""N""]",[],[],[],"[""N""]",[],"[""Y""]",[],[],['21'],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T21:40:00.000""]","[""NONE"", ""UNKNOWN""]","[""NOT OBSCURED"", ""UNKNOWN""]","[""D""]","[""IL""]","[""NONE"", ""UNKNOWN""]",[],"[""O2164398"", ""O2164399""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""X""]","[""IL""]","[""2063223"", ""2063225""]","[""60625""]",[],[],[],[],[],[],2025,10,21,5,True,evening,41.95,-87.65,41.95_-87.65,21.0,21,21,OTHER,0
STRAIGHT AND LEVEL,1623,2025-10-05 21:30:00,1,21,10,197627B9AAAD916478E188BABAC29B33DF02C288B24AF1DD440585806A0F3F5AC7E623208A819F6F275BB187E25E1363BA4D8DBA8C2A7039E9AB87335F41E2CA,NO INJURY / DRIVE AWAY,"OVER $1,500",FUNCTIONING PROPERLY,REAR END,41.9642592448,"DARKNESS, LIGHTED ROAD",-87.7482620322,2,35,FAILING TO REDUCE SPEED TO AVOID CRASH,NO DEFECTS,DRY,FOLLOWING TOO CLOSELY,W,4811,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,1,[],[],"[""Y""]","[""2025-10-05T21:30:00.000""]","[""2164466"", ""2164467""]","[""FRONT"", ""REAR""]","[""IL""]","[""FORD"", ""MITSUBISHI""]","[""STRAIGHT AHEAD""]","[""ECLIPSE"", ""FUSION""]","[""1""]","[""E""]","[""1"", ""2""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""2063287"", ""2063288""]","[""PASSENGER""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2019"", ""2020""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[""Y""]",[],['55'],"[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T21:30:00.000""]","[""FOLLOWED TOO CLOSELY"", ""NONE""]","[""NOT OBSCURED"", ""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2164466"", ""O2164467""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""IL""]","[""2063287"", ""2063288""]","[""60641"", ""60645""]",[],[],[],[],[],[],2025,10,21,5,True,evening,41.96,-87.75,41.96_-87.75,55.0,55,55,SPEEDING,0
STRAIGHT AND LEVEL,1231,2025-10-05 21:14:00,1,21,10,8E734C76E86D5B0D9822A3111ABE1864BE82D671C197C0F8A764168260C3E9E647D8B7C43F18F113E7C9652A582E926DF691620318933B3DC81C30F9D5E66482,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,SIDESWIPE OPPOSITE DIRECTION,41.8714332866,"DARKNESS, LIGHTED ROAD",-87.6718180963,2,30,DRIVING ON WRONG SIDE/WRONG WAY,NO DEFECTS,DRY,TEXTING,W,1807,NO CONTROLS,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-05T21:14:00.000""]","[""2164378"", ""2164379""]","[""FRONT-LEFT-CORNER"", ""REAR-LEFT-CORNER""]","[""IL""]","[""FORD"", ""NISSAN""]","[""STRAIGHT AHEAD""]","[""EXPLORER"", ""ROGUE""]","[""1"", ""2""]","[""E"", ""W""]","[""1"", ""2""]","[""DRIVER""]","[""NONE""]","[""2063201"", ""2063206""]","[""PASSENGER"", ""SPORT UTILITY VEHICLE (SUV)""]","[""PERSONAL"", ""POLICE""]","[""2018"", ""2024""]",[],[],"[""Y""]",[],[],"[""Y""]",[],[],[],[],"[""1""]",[],[],[],[],[],['35'],"[""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-05T21:14:00.000""]","[""NONE"", ""TEXTING""]","[""NOT OBSCURED""]","[""D""]","[""IL""]","[""NONE""]","[""REFUSED""]","[""O2164378"", ""O2164379"", ""P477668""]","[""DRIVER"", ""PASSENGER""]","[""NORMAL""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F""]","[""IL""]","[""2063201"", ""2063206""]","[""60608"", ""60647""]","[""REFUSED""]","[""2""]",[],[],[],[],2025,10,21,5,True,evening,41.87,-87.67,41.87_-87.67,35.0,35,35,OTHER,0
