alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,date_police_notified,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,report_type,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_name,street_no,traffic_control_device,trafficway_type,weather_condition,intersection_related_i,crash_date_est_i,private_property_i,statements_taken_i,photos_taken_i,work_zone_i,veh_count,ppl_count,location_json,veh_first_contact_point_list_json,veh_maneuver_list_json,veh_towed_i_list_json,veh_travel_direction_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,ppl_person_type_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_seat_no_list_json
STRAIGHT AND LEVEL,1024,2025-09-19T20:30:00.000,6,20,9,a916fb0112280561bfaaff36dde2739a33920d5067f9591e83158e1755f0d6f0226c31c1dea06edaf5c324ccb6709c89f51b3a2ae37baa337b003d4562a9d28e,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T12:11:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,Y,0,0,1,0,0,0,0,41.8481550385,UNKNOWN,-87.7136157765,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,UNKNOWN,UNKNOWN,NOT APPLICABLE,W,24TH ST,3524,NO CONTROLS,ONE-WAY,UNKNOWN,,Y,,,,,2,1,"{""coordinates"": [-87.713615776456, 41.848155038454], ""type"": ""Point""}","[""SIDE-RIGHT-REAR"", ""UNKNOWN""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""Y""]","[""E""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2025""]",[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""X""]",[]
STRAIGHT AND LEVEL,311,2025-09-19T20:30:00.000,6,20,9,e40ac275000daf7dbf5e0efece31260104c46c21e6d52c89a60ff2bb1fd13f7eef9a7cab0b1da2848e15195bd07f48d04a2c9d375cf8abb65ad110eac9cb926f,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-19T20:31:00.000,NO CONTROLS,TURNING,,0,0,1,0,1,1,0,41.7801211093,"DARKNESS, LIGHTED ROAD",-87.6235474971,"REPORTED, NOT EVIDENT",2,30,FAILING TO YIELD RIGHT-OF-WAY,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,E,63RD ST,46,NO CONTROLS,NOT DIVIDED,CLEAR,,,,Y,,,2,2,"{""coordinates"": [-87.623547497106, 41.780121109292], ""type"": ""Point""}","[""FRONT""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]","[""Y""]","[""E"", ""W""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL""]","[""2014"", ""2024""]","[""27"", ""40""]","[""DEPLOYED, COMBINATION""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,323,2025-09-19T20:36:00.000,6,20,9,66d4e4fce1b77e81c16acbe27ba66f7d959f1d715f924eb57ad99de32f1de99aaf8251f63d0dcbcd901fb4508c21c7e8e489076e85e12970c89ea016e57c1f4f,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T21:45:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,Y,0,0,1,0,0,0,0,,"DARKNESS, LIGHTED ROAD",,NO INDICATION OF INJURY,2,55,FAILING TO REDUCE SPEED TO AVOID CRASH,ON SCENE,WORN SURFACE,DRY,NOT APPLICABLE,S,CHICAGO SKYWAY OB,7100,NO CONTROLS,DIVIDED - W/MEDIAN BARRIER,CLEAR,,,Y,,,,2,1,,"[""FRONT-RIGHT-CORNER"", ""REAR-LEFT-CORNER""]","[""PARKED"", ""STRAIGHT AHEAD""]",[],"[""E""]","[""DRIVER"", ""PARKED""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2017""]",[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""X""]",[]
STRAIGHT AND LEVEL,324,2025-09-19T20:37:00.000,6,20,9,f4f103a0f94345af4c94b4f21643c0b0ecc0a21bc2f29382cb64804fedf0449c8490d775c7997861f10b4a4de26ac6268eafda03f7291540c7ba3878092bada3,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-19T20:50:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,1,4,0,4,0,41.7588056605,DARKNESS,-87.595618443,NONINCAPACITATING INJURY,2,30,NOT APPLICABLE,ON SCENE,UNKNOWN,DRY,NOT APPLICABLE,E,75TH ST,1200,TRAFFIC SIGNAL,"FIVE POINT, OR MORE",CLEAR,,,,,,,2,5,"{""coordinates"": [-87.595618443022, 41.758805660489], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-RIGHT""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]","[""N""]","[""E"", ""N""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL""]","[""2008"", ""2022""]","[""17"", ""24""]","[""DEPLOYED, COMBINATION"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED""]","[""F"", ""M""]","[""10"", ""2"", ""3""]"
STRAIGHT AND LEVEL,1733,2025-09-19T20:40:00.000,6,20,9,55cc6375ac4c8fe8798a1bf68a781c285087c205f47dce9855346de37812961eec9510db30482d2bf31338b94f16abf4850690226c20b61d3e3b333a97008bb6,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T20:44:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,,0,0,1,0,0,0,0,41.9502094951,"DARKNESS, LIGHTED ROAD",-87.6999689504,NO INDICATION OF INJURY,2,30,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,W,GRACE ST,2845,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,1,"{""coordinates"": [-87.699968950395, 41.950209495104], ""type"": ""Point""}","[""FRONT-LEFT-CORNER""]","[""PARKED"", ""STRAIGHT AHEAD""]",[],"[""E"", ""W""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""NOT IN USE"", ""PERSONAL""]","[""2005"", ""2022""]","[""28""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT NOT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,1834,2025-09-19T20:40:00.000,6,20,9,e937ad7075eb0992f853ee9e673a42cdec4d707f0796cf0b4efe3af6e9490c15cb0bdd5ad63e3fe9fe91e86c27853358ec5baad1573bf509c39d19b31b79035d,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-20T12:30:00.000,NO CONTROLS,SIDESWIPE SAME DIRECTION,Y,0,0,2,0,0,0,0,41.895078838,DARKNESS,-87.6158466585,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,UNKNOWN,DRY,UNABLE TO DETERMINE,N,LAKE SHORE DR NB,700,NO CONTROLS,DIVIDED - W/MEDIAN BARRIER,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.615846658479, 41.895078838031], ""type"": ""Point""}","[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""STRAIGHT AHEAD""]",[],"[""N""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2012"", ""2022""]","[""42"", ""54""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,1221,2025-09-19T21:00:00.000,6,21,9,74482561eed8633844add8294b70d82e042f69aad66b37e7eb26c98cd29afcb77b30628ad638fc70860d0a9d5e133ac2cdc021afc69f883b3e957daf5ca75eb5,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-19T22:06:00.000,FUNCTIONING PROPERLY,TURNING,Y,0,0,2,0,0,0,0,41.8894640229,"DARKNESS, LIGHTED ROAD",-87.7016139093,NO INDICATION OF INJURY,2,30,IMPROPER TURNING/NO SIGNAL,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,N,SACRAMENTO BLVD,440,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.701613909316, 41.889464022911], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT-FRONT""]","[""PASSING/OVERTAKING"", ""TURNING LEFT""]","[""Y""]","[""S""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2021""]","[""23""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,1654,2025-09-19T21:20:00.000,6,21,9,7d76e4a74e49bae9c092061d023ae6c0f681ab1d3fa609394520b9a233e2a54dda94f3b18b37f7e0b5f38e0cd94615cddbb3825828c86c2cddedf805b369b625,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T21:40:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,2,0,0,0,0,41.9950812393,"DARKNESS, LIGHTED ROAD",-87.8843952457,NO INDICATION OF INJURY,2,45,UNABLE TO DETERMINE,ON SCENE,UNKNOWN,DRY,NOT APPLICABLE,N,MANNHEIM RD,6401,TRAFFIC SIGNAL,CENTER TURN LANE,CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.884395245688, 41.995081239342], ""type"": ""Point""}","[""FRONT"", ""SIDE-LEFT-FRONT""]","[""STRAIGHT AHEAD"", ""U-TURN""]",[],"[""N""]","[""DRIVER""]","[""UNKNOWN""]","[""CONSTRUCTION/MAINTENANCE"", ""PERSONAL""]","[""2012"", ""2019""]","[""38"", ""39""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,331,2025-09-19T21:32:00.000,6,21,9,30b4dddfcc9d5a58e4c85012267420ee111e81799ea4b4642c173509933cd9a7511d588c2bac9007801fbff4f4a51096d0e5dd266515aff802c514724a65d571,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:50:00.000,UNKNOWN,SIDESWIPE SAME DIRECTION,Y,0,0,2,0,0,0,0,41.7754200537,"DARKNESS, LIGHTED ROAD",-87.5758885326,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),UNKNOWN,DRY,UNABLE TO DETERMINE,E,MARQUETTE DR,2015,UNKNOWN,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.575888532605, 41.775420053705], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""STRAIGHT AHEAD""]",[],"[""E""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""1995"", ""2014""]","[""22""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,1833,2025-09-19T21:35:00.000,6,21,9,150d77abf55b475febb9dd6087a03106b22e07faf986c35c559ec72143281c7f4993fb0a9ad1249a5c5972a571b901607b14ecfd14b28c1a9fd4783983fe3d30,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:01:00.000,FUNCTIONING PROPERLY,PARKED MOTOR VEHICLE,,0,0,1,0,0,0,0,41.8964220155,"DARKNESS, LIGHTED ROAD",-87.6280463636,NO INDICATION OF INJURY,2,30,IMPROPER OVERTAKING/PASSING,ON SCENE,NO DEFECTS,DRY,IMPROPER OVERTAKING/PASSING,N,STATE ST,751,TRAFFIC SIGNAL,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,,,,,,,2,1,"{""coordinates"": [-87.628046363601, 41.89642201552], ""type"": ""Point""}","[""FRONT-LEFT-CORNER"", ""REAR-RIGHT-CORNER""]","[""PARKED"", ""PASSING/OVERTAKING""]",[],"[""N""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""NOT IN USE"", ""PERSONAL""]","[""2016"", ""2025""]","[""68""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,211,2025-09-19T21:35:00.000,6,21,9,a31cf361b4c038cfe778e230e08b402b58643f31c4f3e377a394aa634f24d418c86f7f0c1686be0b7397508969986fd4359341ad3cbfe41a0af9ae0faf76e29e,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-19T22:30:00.000,NO CONTROLS,SIDESWIPE SAME DIRECTION,,0,0,2,0,0,0,0,41.8382270062,"DARKNESS, LIGHTED ROAD",-87.6301726407,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,IMPROPER LANE USAGE,S,LA SALLE ST,3100,NO CONTROLS,ONE-WAY,CLEAR,,N,,,,,2,2,"{""coordinates"": [-87.630172640708, 41.838227006243], ""type"": ""Point""}","[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""STRAIGHT AHEAD""]",[],"[""S""]","[""DRIVER""]","[""BRAKES"", ""NONE""]","[""PERSONAL""]","[""2016"", ""2024""]","[""31"", ""60""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,911,2025-09-19T21:40:00.000,6,21,9,552638c8bde2a9d0ddcde0daaab12de0fb0bb12fd3c2976ab6bc6795878901b770155ea1949f576a5f72ef19efbd29052b6fcce63e1a1332457b75be581e17e7,NO INJURY / DRIVE AWAY,$500 OR LESS,2025-09-19T23:00:00.000,FUNCTIONING PROPERLY,REAR END,,0,0,2,0,0,0,0,41.8237584709,"DARKNESS, LIGHTED ROAD",-87.6887165612,NO INDICATION OF INJURY,2,30,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,UNABLE TO DETERMINE,S,ARCHER AVE,3840,TRAFFIC SIGNAL,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.688716561156, 41.823758470906], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]",[],"[""SW""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2014"", ""2024""]","[""25"", ""32""]","[""DID NOT DEPLOY"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,1613,2025-09-19T21:53:00.000,6,21,9,4c7aafade0942aed82511137c3516d5a1fb0670aa6d3fa4a643c4c8f107fe567edacab95a072d7168cb2a027d8ebec74e2a9c283dd090e0809fe01d9217a21a0,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-19T21:53:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,0,1,1,2,0,41.9746479977,"DARKNESS, LIGHTED ROAD",-87.8071278904,NONINCAPACITATING INJURY,2,30,IMPROPER TURNING/NO SIGNAL,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,W,FOSTER AVE,7200,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.807127890417, 41.974647997741], ""type"": ""Point""}","[""FRONT"", ""FRONT-RIGHT-CORNER""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]","[""Y""]","[""E"", ""W""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2002"", ""2011""]","[""42"", ""69""]","[""DEPLOYED, FRONT""]","[""NONE""]","[""NONINCAPACITATING INJURY"", ""REPORTED, NOT EVIDENT""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,332,2025-09-19T21:58:00.000,6,21,9,43070d2e7f03fe1988b39eabeedc446808a54ef9a5483574b0f765f6ffcb9827eac75a616ac66832db474a76eb501c397fb31c4a2eb98adbb7f78061d2e07929,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-19T22:00:00.000,NO CONTROLS,TURNING,N,0,0,2,0,0,0,0,41.7733409702,"DARKNESS, LIGHTED ROAD",-87.5769745558,NO INDICATION OF INJURY,2,30,IMPROPER TURNING/NO SIGNAL,ON SCENE,UNKNOWN,DRY,NOT APPLICABLE,E,67TH ST,1949,NO CONTROLS,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,,,,,,,2,2,"{""coordinates"": [-87.576974555756, 41.77334097015], ""type"": ""Point""}","[""FRONT""]","[""TURNING LEFT"", ""TURNING RIGHT""]","[""Y""]","[""N"", ""S""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2013""]","[""26""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M"", ""X""]",[]
STRAIGHT AND LEVEL,1831,2025-09-19T22:00:00.000,6,22,9,4d980f9fcba92956967ea4b43ad9631d840db146dea17aab3909167c0c7e8f0d48ae485ddae5861b152ff980b299c5844196c50c92034c2c0d5d3327078af8df,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:20:00.000,FUNCTIONING PROPERLY,SIDESWIPE SAME DIRECTION,,0,0,3,0,0,0,0,41.8965031108,"DARKNESS, LIGHTED ROAD",-87.6370235709,NO INDICATION OF INJURY,2,35,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,N,ORLEANS ST,757,TRAFFIC SIGNAL,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,,,,,,,2,3,"{""coordinates"": [-87.637023570947, 41.896503110759], ""type"": ""Point""}","[""SIDE-RIGHT"", ""UNKNOWN""]","[""STRAIGHT AHEAD""]",[],"[""N""]","[""DRIVER""]","[""NONE""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2013"", ""2024""]",[],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""3""]"
STRAIGHT AND LEVEL,1932,2025-09-19T22:00:00.000,6,22,9,9b69aa35b49d5599b407e00e0dd9f392ebcaf84e9a3708b949a833484453e6c1bc263b3dfebcb0e17c68632c0b1bffa1d9c46d2f21eb179d15580fd9f84a004c,NO INJURY / DRIVE AWAY,$500 OR LESS,2025-09-20T08:35:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,,0,0,1,0,0,0,0,41.9353154099,"DARKNESS, LIGHTED ROAD",-87.6637795875,NO INDICATION OF INJURY,2,30,IMPROPER BACKING,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,W,OAKDALE AVE,1400,NO CONTROLS,NOT DIVIDED,CLEAR,,Y,,,,,2,1,"{""coordinates"": [-87.663779587473, 41.935315409896], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""BACKING"", ""PARKED""]",[],"[""UNKNOWN""]","[""DRIVER"", ""PARKED""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2019""]","[""70""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,511,2025-09-19T22:04:00.000,6,22,9,4921916eb6d3add51dbe60180251228b3aaa04e41a096567f2fcaa85d85bb28cddd363b6d981a8e012a25e3795652988510c4e3ae0c48e39b30a562b8775f9d8,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:04:00.000,FUNCTIONING PROPERLY,REAR END,,0,0,2,0,0,0,0,41.7215662926,DARKNESS,-87.6251695177,NO INDICATION OF INJURY,2,30,FAILING TO REDUCE SPEED TO AVOID CRASH,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,S,LAFAYETTE AVE,9500,STOP SIGN/FLASHER,DIVIDED - W/MEDIAN BARRIER,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.625169517699, 41.721566292573], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""STRAIGHT AHEAD""]","[""N""]","[""W""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""RIDESHARE SERVICE""]","[""2023"", ""2207""]","[""38""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,915,2025-09-19T22:08:00.000,6,22,9,231e3a0ffdfb38aac1ca1067940938f34316f361a8562c8320eeef12a9401772160b0e34b94f100bf63b3447d5e2d7fdabf901d292264a603c74a49fc2f83746,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:14:00.000,NO CONTROLS,REAR END,Y,0,0,2,0,0,0,0,41.8309111801,"DARKNESS, LIGHTED ROAD",-87.6423969827,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,W,35TH ST,628,NO CONTROLS,NOT DIVIDED,CLOUDY/OVERCAST,Y,Y,,,,,2,2,"{""coordinates"": [-87.642396982719, 41.830911180131], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""STRAIGHT AHEAD""]",[],"[""W""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2014"", ""2020""]","[""38""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M"", ""X""]",[]
STRAIGHT AND LEVEL,133,2025-09-19T22:11:00.000,6,22,9,72c0ef14977c9b95daf80da2319b2a29e7602e4df9b66b58a2b870a2d2f0921155155bd4951d0dfeb6a652fd181cae0cfddc0a5a5945a793eab528c460466daf,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:17:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,2,0,0,0,0,41.8455203975,"DARKNESS, LIGHTED ROAD",-87.627106592,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,DRY,UNABLE TO DETERMINE,S,STATE ST,2600,TRAFFIC SIGNAL,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,Y,,,Y,,,2,2,"{""coordinates"": [-87.627106591997, 41.845520397465], ""type"": ""Point""}","[""FRONT"", ""FRONT-RIGHT-CORNER""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]",[],"[""S"", ""W""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2012"", ""2018""]","[""20"", ""63""]","[""DEPLOYED, COMBINATION""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""NONE PRESENT""]","[""M""]",[]
STRAIGHT AND LEVEL,1421,2025-09-19T22:26:00.000,6,22,9,4fcd1fda440bb98d097dbcf99eef661e7fcb2f5f02b399a2b0b01f40cc4c1bd8f9931cc576de256915eabc679db7067c590a73092f304507f0e16a988d487212,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-19T23:21:00.000,NO CONTROLS,SIDESWIPE SAME DIRECTION,Y,0,0,2,0,0,0,0,41.9124292858,"DARKNESS, LIGHTED ROAD",-87.6971962528,NO INDICATION OF INJURY,2,30,IMPROPER OVERTAKING/PASSING,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,N,CALIFORNIA AVE,1704,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.697196252818, 41.912429285791], ""type"": ""Point""}","[""SIDE-LEFT-FRONT"", ""SIDE-RIGHT-FRONT""]","[""MERGING"", ""STRAIGHT AHEAD""]",[],"[""N""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2025""]","[""19""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,433,2025-09-19T22:30:00.000,6,22,9,55e9058a8a2c87e1080b43636c0a572ea513ad510260ae47e872bfa576b62e75bb68896615e885e428bd1dd1d09c02017e00f41d2a3664d4e70a20a745ab494f,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T22:42:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,Y,0,0,1,0,0,0,0,41.6884236349,"DARKNESS, LIGHTED ROAD",-87.537548042,NO INDICATION OF INJURY,3,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,S,AVENUE M,11355,NO CONTROLS,ONE-WAY,CLEAR,,Y,,,,,3,1,"{""coordinates"": [-87.537548042007, 41.688423634858], ""type"": ""Point""}","[""OTHER"", ""REAR-LEFT-CORNER"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]",[],"[""N"", ""UNKNOWN""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2015"", ""2018""]",[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""X""]",[]
